Point	Potential(mV)	Current(microAmp)
357	-29.622735455632	-524.024362675846
358	-34.540679305792	-531.955622136593
359	-39.614751935005	-539.5746557042
360	-44.688820838928	-546.818948350847
361	-49.528703093529	-553.750956896693
362	-54.524708539248	-560.308282729238
363	-59.598781168461	-566.459668334574
364	-64.594782888889	-572.205171920359
365	-69.512724876404	-577.638391405344
366	-74.586801230907	-582.634471356869
367	-79.660870134831	-587.162154261023
368	-84.578812122345	-591.283896937966
369	-89.574821293354	-594.999699387699
370	-94.570830464363	-598.278362303972
371	-99.566832184792	-601.151084993035
372	-104.484781622887	-603.555468842387
373	-109.636910259724	-605.428998824209
374	-114.632919430733	-606.92778788507
375	-119.628928601742	-607.989437412471
376	-124.546870589256	-608.582748100162
377	-129.620939493179	-608.770118560642
378	-134.538888931274	-608.520291280001
379	-139.534890651703	-607.833324465901
380	-144.68702673912	-606.74047563225
381	-149.604976177216	-605.304085183889
382	-154.600977897644	-603.399355895817
383	-159.518927335739	-601.182342506945
384	-164.592996239662	-598.559388890862
385	-169.588997960091	-595.65540868789
386	-174.506947398186	-592.439202591777
387	-179.659083485603	-588.910770602524
388	-184.655085206032	-585.101253818721
389	-189.573034644127	-581.041967961937
390	-194.64710354805	-576.795311644673
391	-199.565038084984	-572.298828046769
392	-204.639106988907	-567.615032196045
393	-209.557056427002	-562.806322705001
394	-214.55305814743	-557.747785933316
395	-219.54907476902	-552.689307369292
396	-224.623143672943	-547.443458344787
397	-229.619145393372	-542.166351806372
398	-234.615162014961	-536.795589141548
399	-239.689230918884	-531.424826476723
400	-244.685232639313	-525.960349477828
401	-249.603182077408	-520.495930686593
402	-254.67723608017	-515.062711201608
403	-259.673267602921	-509.598234202713
404	-264.669269323349	-504.165014717728
405	-269.665271043777	-498.763052746654
406	-274.505138397217	-493.423489388078
407	-279.579222202301	-488.115183543414
408	-284.653306007385	-482.838106108829
409	-289.649307727814	-477.685913210735
410	-294.645309448242	-472.56494872272
411	-299.563258886337	-467.537669464946
412	-304.559260606766	-462.541589513421
413	-309.711396694183	-457.670423202217
414	-314.629346132278	-452.861713711172
415	-319.625347852707	-448.146689450368
416	-324.621349573135	-443.494122009724
417	-329.53929901123	-438.93521069549
418	-334.613353013992	-434.501183917746
419	-339.609384536743	-430.129643063992
420	-344.683438539505	-425.820529926568
421	-349.679440259933	-421.667558839545
422	-354.675471782684	-417.514587752521
423	-359.593391418457	-413.548958022147
424	-364.589422941208	-409.583328291774
425	-369.66347694397	-405.74261220172
426	-374.659478664398	-401.995552238077
427	-379.577428102493	-398.279749788344
428	-384.651511907578	-394.751288695261
429	-389.647513628006	-391.254026908427
430	-394.565463066101	-387.819251045585
431	-399.639517068863	-384.509359719232
432	-404.635518789291	-381.230667699128
433	-409.631550312042	-378.076918423176
434	-414.627552032471	-374.985596863553
435	-419.623553752899	-371.95673212409
436	-424.619555473328	-369.052781024948
437	-429.615557193756	-366.180029232055
438	-434.611588716507	-363.400991773233
439	-439.607590436935	-360.71561044082
440	-444.681644439697	-358.092656824738
441	-449.599593877792	-355.594645952806
442	-454.595595598221	-353.065377566963
443	-459.669679403305	-350.723479641601
444	-464.665681123734	-348.381581716239
445	-469.583630561829	-346.164568327367
446	-474.65768456459	-343.978783348575
447	-479.653716087341	-341.886683600023
448	-484.64971780777	-339.888269081712
